x,mu,sigma,f_exact
0.15615615615615616,0.9890761704789384,0.0010853357710855838,0.9877323801994821
0.15715715715715717,0.9889209891818211,0.0010858673469165386,0.9875736063475373
0.15815815815815815,0.9887646212238508,0.0010864198484220498,0.9874137921904975
0.15915915915915915,0.9886070660735982,0.0010869917430947138,0.9872529372231563
0.16016016016016016,0.9884483232033006,0.0010875815396026048,0.9870910409366868
0.16116116116116116,0.9882883920872132,0.0010881877879879297,0.9869281028186331
0.16216216216216217,0.9881272722021208,0.0010888090774387512,0.9867641223529019
0.16316316316316315,0.9879649630277072,0.001089444038728106,0.9865990990197543
0.16416416416416416,0.9878014640468962,0.0010900913404568318,0.9864330322957973
0.16516516516516516,0.9876367747446579,0.0010907496928685078,0.9862659216539744
0.16616616616616617,0.9874708946087196,0.00109141784237138,0.9860977665635584
0.16716716716716717,0.9873038231298779,0.0010920945753614645,0.985928566490141
0.16816816816816815,0.9871355598017715,0.0010927787152562925,0.9857583208956253
0.16916916916916916,0.9869661041201425,0.0010934691227711762,0.9855870292382165
0.17017017017017017,0.986795455583831,0.0010941646949607802,0.9854146909724125
0.17117117117117117,0.9866236136946895,0.0010948643658721332,0.9852413055489958
0.17217217217217218,0.9864505779567878,0.0010955671046990298,0.9850668724150233
0.17317317317317318,0.9862763478774923,0.0010962719155011853,0.9848913910138184
0.17417417417417416,0.986100922966159,0.0010969778373690687,0.9847148607849606
0.17517517517517517,0.9859243027356683,0.0010976839431623856,0.9845372811642771
0.17617617617617617,0.9857464867009753,0.001098389338952323,0.9843586515838325
0.17717717717717718,0.9855674743805025,0.0010990931637613437,0.9841789714719205
0.1781781781781782,0.9853872652952873,0.0010997945891963433,0.9839982402530532
0.17917917917917917,0.9852058589685839,0.00110049281806858,0.9838164573479524
0.18018018018018017,0.9850232549265456,0.0011011870846270222,0.9836336221735397
0.18118118118118118,0.9848394526989068,0.0011018766539805675,0.983449734142926
0.18218218218218218,0.984654451817164,0.0011025608203610077,0.9832647926654031
0.1831831831831832,0.984468251816395,0.0011032389081067637,0.9830787971464324
0.1841841841841842,0.9842808522335531,0.0011039102706293976,0.9828917469876357
0.18518518518518517,0.9840922526096563,0.001104574288779314,0.9827036415867851
0.18618618618618618,0.9839024524873423,0.0011052303715769296,0.9825144803377927
0.1871871871871872,0.9837114514118923,0.0011058779561375456,0.9823242626307003
0.1881881881881882,0.9835192489335896,0.0011065165049376192,0.9821329878516692
0.1891891891891892,0.9833258446021773,0.0011071455066507317,0.9819406553829703
0.19019019019019018,0.9831312379728274,0.0011077644765804789,0.9817472646029727
0.19119119119119118,0.9829354286026444,0.0011083729537875646,0.9815528148861341
0.1921921921921922,0.9827384160510064,0.001108970502632761,0.9813573056029896
0.1931931931931932,0.9825401998811003,0.001109556711664932,0.9811607361201413
0.1941941941941942,0.9823407796586139,0.0011101311919645858,0.9809631058002475
0.19519519519519518,0.9821401549513951,0.0011106935784434718,0.9807644140020119
0.1961961961961962,0.9819383253306739,0.0011112435280454494,0.9805646600801723
0.1971971971971972,0.9817352903706933,0.0011117807191037205,0.9803638433854901
